시군명,사업단계,사업유형,정비구역명,위치,구역면적(㎡),(기존주택)준공년도,(기존주택)동수,(기존주택)세대수,(기존주택)면적별세대수(40㎡미만),(기존주택)면적별세대수(40~60㎡),(기존주택)면적별세대수(60~85㎡),(기존주택)면적별세대수(85~135㎡),(기존주택)면적별세대수(135㎡이상),사업시행세대수총계,조합원분양세대수,일반분양세대수,임대세대수,(신축주택)분양주택수,(신축주택)면적별분양주택수(40㎡미만),(신축주택)면적별분양주택수(40~60㎡),(신축주택)면적별분양주택수(60~85㎡),(신축주택)면적별분양주택수(85~135㎡),(신축주택)면적별분양주택수(135㎡이상),(신축주택)임대주택수,(신축주택)면적별임대주택수(40㎡미만),(신축주택)면적별임대주택수(40~60㎡),(신축주택)면적별임대주택수(60~85㎡),(기존)용적률,(신축)용적률,토지등소유자수(명),조합원수(명),사업시행자,사업예정기간(사업시작),사업예정기간(사업완료),정비예정구역고시일자,정비구역지정예정일자,정비계획승인일자,정비구역지정일자(최초지정),정비구역지정일자(변경지정),추진위승인일자,예비평가일자,안전진단일자,조합설립인가일자,사업시행인가일자,관리처분인가일자,착공일자,일반분양일자,준공일자,이전고시일자,현추진상황,담당자전화번호,비고
고양시,준공,재건축,원당주공2단지,경기도 고양시 성사동 715번지,77755.000,1986,37,1260,,800,460,,,1651.00,1252,111,288,1363,,117,685,476,85,288,,223,65,77%,266%,1260,1252,조합,2007,2010,,,,20060116,20060522,,,20030324,20030630,20060524,20061023,20070423,20091117,20091030,20100330,,031-8075-3434,
고양시,예정구역,재건축,관산Ⅱ-1구역,경기도 고양시 덕양구 관산동 178-57번지 일원,16404.000,1980~1992,8,435,20,80,235,100,,,,,,,,,,,,,,,,230%,230%,435,,,,,20140106,20201231,,,,,20190513,20240415,,,,,,,,,031-8075-3432,
고양시,조합설립,재개발,행신Ⅰ-1구역,경기도 고양시 덕양구 행신동 222번지 일원,29320.000,1980~2012,84,662,43,180,350,150,,663.00,533,50,80,583,,423,160,,,80,61,19,,200%,230%,557,557,,,,20140106,20201231,,20221227,,20230406,,,20240415,,,,,,,,031-8075-3434,
고양시,조합설립,재개발,일산Ⅰ-2구역,경기도 고양시 일산동 960-16번지 일원,17738.000,1940~2001,9,94,,4,5,,,308.00,98,172,38,270,,196,74,,,38,20,18,,150%,230%,99,98,조합,2015,,20061221,20080101,20140114,20150410,20170414,20100201,,,20190115,,,,,,,,031-8075-3434,
고양시,조합설립,재개발,고양 Ⅰ-1구역,경기도 고양시 덕양구 고양동 22-2번지 일원(제일복지회관 주변),24500.000,1970~2004,45,196,15,70,90,21,,352.00,123,169,60,292,,120,140,32,,60,60,,,37%,222%,124,123,조합,2009,,20061221,20061221,20090630,20091224,,20070305,,,20100618,,,,,,,,031-8075-3434,
고양시,사업시행,재개발,고양Ⅰ-2구역,경기도 고양시 덕양구 고양동 92-1번지 일원(한양연립 주변),16154.000,1980~1995,14,160,10,60,80,10,,309.00,129,142,38,271,7,202,62,,,38,38,,,55%,218%,132,129,조합,2008,,20061221,,,20090609,20110617,20070423,,,20091120,20110624,,,,,,,031-8075-3434,
고양시,관리처분,재건축,행신 Ⅱ-1구역,경기도 고양시 행신동 173-1번지일원(행신지구 재건축 주변),13062.000,1980~2003,13,267,20,90,120,37,,272.00,169,103,,272,,132,140,,,,,,,104%,230%,186,169,조합,2010,,20061221,20061221,20090901,20100309,20170324,,,,20010921,20220503,20240223,,,,,,031-8075-3432,
고양시,착공,재건축,능곡 2-1,경기도 고양시 덕양구 토당동 251-12번지 일원,33263.000,1985,45,534,,416,118,,,834.00,489,270,75,759,,374,385,,,75,,75,,123%,283%,541,489,조합,2007,,20061221,,,20070827,20181221,20031229,20030528,20031104,20070831,20080314,20180510,20200219,20201016,,20240910,,031-8075-3432,
고양시,준공,재개발,관산1차,경기도 고양시 관산동 178-52번지 일원,6986.000,1987,21,33,2,12,15,4,,340.00,50,290,,340,,136,102,68,34,,,,,126%,669%,53,50,조합,2007,2012,,,,20050926,20070813,20051205,,,20060110,20070921,20071227,20110120,20110428,20140228,20140314,,031-8075-3434,
고양시,준공,재건축,일산Ⅱ-1구역(탄현주공),경기도 고양시 탄현동 28번지 일원,23728.000,1989,13,33,2,12,15,4,,589.00,393,178,18,571,,141,398,32,,18,,18,,95%,250%,393,393,조합,2007,2012,20061221,,,20071022,,,,20030630,20030630,20081231,20091231,20110304,20130509,20130802,20140711,,031-8075-3434,
고양시,준공,재건축,주교성사1단지,경기도 고양시 덕양구 성사동 869,66998.000,1986,35,1050,,846,204,,,1486.00,1047,289,150,1336,,164,616,376,180,150,,150,,80%,277%,1047,1047,조합,2005,2009,,,,20060619,20071227,,,20030228,20030630,20060620,20061012,20070430,20091125,20091202,20100618,,031-8075-3434,
과천시,관리처분,재건축,"주공8,9단지구역",경기도 과천시 부림동 41번지 일원,138828.000,1982,29,2120,,540,1580,,,2829.00,2120,709,,2829,,242,1523,971,93,,,,,130%,237%,2171,2041,조합,2019,2029,20100430,20100430,20190228,20190228,20221026,20210223,,20141229,,20240321,20250108,,,,,,02-3677-2652,
과천시,청산,재건축,주공7-2단지,경기도 과천시 별양동 3번지 일원,31967.000,1982,11,400,,300,100,,,543.00,400,143,,543,,224,274,45,,,,,,91%,220%,401,400,조합,2011,2018,20100430,,20111229,20111229,20120319,20130717,,20100506,,20141031,20150710,20160428,20160524,20180725,20181212,,02-3677-2653,
과천시,청산,재건축,주공12단지,경기도 과천시 갈현동 369 일원,9289.000,1984,5,44,,,,44,,100.00,43,57,,100,,,62,35,3,,,,,47%,164%,47,45,조합,2007,2020,,,,,,20060608,,20060427,,20060711,20070105,20180521,20180525,20200811,20201123,,02-3677-2656,
과천시,준공,재건축,주공1단지,경기도 과천시 중앙동 37번지 일원,114500.000,1981,39,1062,,400,662,,,1571.00,1062,509,,1571,,462,581,473,55,,,,,75%,189%,1135,1133,조합,2011,2020,20100430,,20110923,20110923,20190717,20120406,,20100506,,20150617,20160322,20170908,20190722,20200331,20201015,,02-3677-2652,
과천시,준공,재건축,주공7-1단지,경기도 과천시 부림동 49번지 일원,80419.000,1982,24,722,,400,322,,,1317.00,739,578,,1317,,316,752,247,2,,,,,67%,212%,745,742,조합,2011,2020,20100430,,20111229,20111229,20210318,20131219,,20100506,,20150827,20160415,20171201,20180125,20201221,20210520,,02-3677-2653,
과천시,준공,재건축,주공2단지,"경기도 과천시 원문동 2, 별양동 8번지 일원",118069.000,1982,38,1620,500,1120,,,,2128.00,1607,521,,2128,62,806,1011,249,,,,,,71%,227%,1618,1607,조합,2011,2021,20100430,,20110809,20110809,20210518,20120926,20060823,20070410,,20150630,20161116,20180220,20180316,20210128,20210520,,02-3677-2652,
과천시,준공,재건축,주공6단지,경기도 과천시 별양동 52번지 일원,118176.000,1982,47,1262,,620,642,,,2099.00,1316,783,,2099,,706,845,504,44,,,,,81%,222%,1340,1294,조합,2011,2021,20100430,,20110923,20110923,20171220,20111208,,20100506,,20150625,20160727,20181223,20190515,20220318,20220425,,02-3677-2657,
