"조서관리코드","프로젝트코드","지자체","조서유형(구분)","대분류","중분류","소분류","위치명","지역명","면적기정","면적증감코드","면적변경","면적변경후","결정고시관리코드"
"11000AGZ198504032330","11000PPL198504036832","서울특별시","변경","의제처리구역","정비구역","재개발사업지구","소공동 17번지일대","소공4-1도시환경정비지구","3378.1","","","2472","11000NTC198504036832"
"11000AGZ198504032331","11000PPL198504036832","서울특별시","변경","의제처리구역","정비구역","재개발사업지구","소공동 111번지일대","소공4-2도시환경정비지구","3115","","","4030.1","11000NTC198504036832"
"11000AGZ198504032332","11000PPL198504036832","서울특별시","변경","의제처리구역","정비구역","재개발사업지구","태평로2가 43일대","소공4-3도시환경정비지구","3197","","","3197","11000NTC198504036832"
"11000AGZ198505012337","11000PPL198505016898","서울특별시","변경","의제처리구역","정비구역","주택재개발사업지구","성동구 하왕십리동 890번지 일대","하왕제1구역제1지구","","","","63270","11000NTC198505016898"
"11000AGZ198505142339","11000PPL198505146936","서울특별시","변경","의제처리구역","정비구역","도시환경정비사업지구","서린동 33번지 일대(41필지)","서린구역제12지구","7363.4","","","7472.1","11000NTC198505146936"
"11000AGZ198505172340","11000PPL198505176942","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","강동구 천호동 410-90외 214필지","천호제2구역","8834","","","9169","11000NTC198505176942"
"11000AGZ198505232341","11000PPL198505236956","서울특별시","신설","의제처리구역","정비구역","주택재개발사업구역","강남구 반포동 539번지 일원","반포1구역","0","","","25023","11000NTC198505236956"
"11000AGZ198505232342","11000PPL198505236956","서울특별시","신설","의제처리구역","정비구역","주택재개발사업구역","서울특별시 강동구 천호동 410번지 일원","천호3구역","0","","","6970","11000NTC198505236956"
"11000AGZ198505232343","11000PPL198505236956","서울특별시","신설","의제처리구역","정비구역","주택재개발사업구역","서울특별시 서대문구 대현동 61번지 일원","대현1주택재개발정비구역","0","","","40870","11000NTC198505236956"
"11000AGZ198408132229","11000PPL198408136236","서울특별시","변경","의제처리구역","정비구역","재개발사업지구","중구 남대문로 5가 301번지 일대","양동5도시환경정비지구","5907","","","6060.2","11000NTC198408136236"
"11000AGZ198404272165","11000PPL198404275987","서울특별시","신설","의제처리구역","정비구역","도시환경정비사업지구","","6지구","0","","","2631","11000NTC198404275987"
"11000AGZ198404272166","11000PPL198404275987","서울특별시","변경","의제처리구역","정비구역","재개발사업지구","도렴동 110-1","도렴24도시환경정비지구","2014","","","2553","11000NTC198404275987"
"11000AGZ198404272167","11000PPL198404275987","서울특별시","신설","의제처리구역","정비구역","도시환경정비사업지구","","9지구","0","","","3574","11000NTC198404275987"
"11000AGZ198404272168","11000PPL198404275987","서울특별시","변경","의제처리구역","정비구역","도시환경정비사업지구","도렴동 115-1","29지구","873","","","0","11000NTC198404275987"
"11000AGZ198404272169","11000PPL198404275987","서울특별시","변경","의제처리구역","정비구역","도시환경정비사업지구","내수동 10-2","30지구","1005","","","0","11000NTC198404275987"
"11000AGZ198404272170","11000PPL198404275987","서울특별시","변경","의제처리구역","정비구역","재개발사업지구","","신문로 2-7도시환경정비지구","","","","1085","11000NTC198404275987"
"11000AGZ198412072302","11000PPL198412076499","서울특별시","변경","의제처리구역","정비구역","도시환경정비사업지구","수하동 30번지 일대","을지로2가구역제13지구","3815","","","3580.2","11000NTC198412076499"
"11000AGZ198404272171","11000PPL198404275987","서울특별시","신설","의제처리구역","정비구역","도시환경정비사업지구","","3지구","0","","","2821","11000NTC198404275987"
"11000AGZ198404272172","11000PPL198404275987","서울특별시","변경","의제처리구역","정비구역","도시환경정비사업지구","중구 태평로 2가동 120번지 일대","서소문4도시환경정비지구","5405","","","5417.9","11000NTC198404275987"
"11000AGZ198404272173","11000PPL198404275987","서울특별시","신설","의제처리구역","정비구역","도시환경정비사업지구","","1지구","0","","","2720","11000NTC198404275987"
"11000AGZ198404272175","11000PPL198404275987","서울특별시","신설","의제처리구역","정비구역","도시환경정비사업지구","","4지구","0","","","3035","11000NTC198404275987"
"11000AGZ198404272176","11000PPL198404275987","서울특별시","신설","의제처리구역","정비구역","재개발사업지구","","명동5도시환경정비지구","0","","","1364","11000NTC198404275987"
"11000AGZ198404272177","11000PPL198404275987","서울특별시","신설","의제처리구역","정비구역","도시환경정비사업지구","","2지구","0","","","2732","11000NTC198404275987"
"11000AGZ198404272178","11000PPL198404275987","서울특별시","신설","의제처리구역","정비구역","도시환경정비사업지구","","2지구","0","","","4911","11000NTC198404275987"
"11230AGZ202110250002","11230PPL202110250004","동대문구","변경","의제처리구역","정비구역","주택재개발사업구역","동대문구 전농동 440-9번지 일대 ","전농7재정비촉진구역 ","151792.4","2","0.1","151792.3","11230NTC202110250004"
"11440AGZ202301040001","11440PPL202301040003","마포구","변경","의제처리구역","정비구역","주택재개발사업구역","서울시 마포구 공덕동 119번지 일원","공덕 제6주택재개발정비사업","11326","2","24.6","11301.4","11440NTC202301040003"
"11590AGZ202301020001","11590PPL202301020002","동작구","변경","의제처리구역","정비구역","주택재건축사업","동작구 사당동 42번지 일대","사당3재건축정비사업","30221.2","2","159.8","30061.4","11590NTC202301020002"
"11500AGZ202301200001","11500PPL202301200001","강서구","변경","의제처리구역","정비구역","주택재건축사업","강서구 마곡동 725-1번지 일대","긴등마을 재정비촉진구역","31668","2","37","31631","11500NTC202301200001"
"11000AGZ202301300002","11000PPL202301300003","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","노량진동 278-2번지 일대 ","노량진1재정비촉진구역 ","132287","2","100","132187","11000NTC202301300004"
"11170AGZ202301300001","11170PPL202301300008","용산구","변경","의제처리구역","정비구역","도시환경정비사업구역","용산구 한강로2가 2-116호 일대","신용산역 북측 제1구역 도시정비형 재개발구역","14057","2","93.9","13963.1","11170NTC202301300007"
"11230AGZ202209280001","11230PPL202209280003","동대문구","변경","의제처리구역","정비구역","주택재개발사업구역","동대문구 신설동 92-5번지 일대 ","신설 제1 주택정비형 공공재개발사업 ","11204.15","","","11204.15","11230NTC202302060002"
