순번,정비 구역명,시군구명,법정동명,번,지,지목,지구유형,사업시행방식,시행자 구분,시행단계,정비유형,생활권유형,정비구역 면적(제곱미터),용적률,건폐율,기본계획명,고시번호,고시일
1,미아제11구역 주택재개발정비사업,강북구,미아동,791,108,대,정비(예정)구역,주택정비형재개발,조합(단독),추진위구성,전면,C(대생활권),"35,891",190,60,도시주거환경정비,제2010-490호,2010-12-30
2,미아9-2주택재건축정비구역,강북구,미아동,137,72,대,정비(예정)구역,재건축(단독),조합(단독),조합설립인가,,,"102,847",231,20,,제2009-301호,2009-07-30
3,미아4-1구역주택재건축정비사업,강북구,미아동,8,373,대,정비(예정)구역,재건축(단독),조합(단독),조합설립인가,,,"51,265",197,21,,제2009-307호,2009-08-06
4,미아2재정비촉진구역 주택재개발,강북구,미아동,403,0,대,정비(예정)구역,(촉)재개발,조합(단독),조합설립인가,수복(전면),,"179,566",230,16,도시주거환경정비,제2020-423호,2020-10-22
5,미아3재정비촉진구역 주택재개발정비사업,강북구,미아동,439,0,대,정비(예정)구역,(촉)재개발,조합(단독),조합설립인가,수복(전면),,"57,553",229,25,,제2020-423호,2020-10-22
6,강북5구역 도시환경정비사업,강북구,미아동,61,79,대,정비(예정)구역,(촉)도시환경정비,조합(단독),추진위구성,,,128,589,53,미아균형발전촉진지구 개발,제2014-80호,2014-03-06
7,강북7,강북구,미아동,60,5,대,정비구역이 아닌 구역,(촉)도시환경정비,토지등소유자,정비구역지정,,,"11,526",,,,제2014-81호,2014-03-06
8,방화3재정비촉진구역,강서구,방화동,615,103,대,정비(예정)구역,재건축(단독),조합(단독),조합설립인가,,,"90,383",223,25,,,
9,신안빌라,강서구,마곡동,327,53,대,정비(예정)구역,재건축(공동),조합(단독),조합설립인가,,,"16,400",261,28,신안빌라주택재건축정비사업,서울특별시고시 2012-215,2012-08-09
10,봉천1-1구역주택재건축정비사업,관악구,봉천동,728,57,대,정비(예정)구역,재건축,조합(단독),조합설립인가,,,"34,142",279,23,도시주거환경정비,서울특별시고시 제2000475호,2009-11-26
11,봉천제4-1-3구역 주택재개발정비사업,관악구,봉천동,480,0,대,정비(예정)구역,주택정비형재개발,공동(조합조합이외의자),조합설립인가,전면,,"79,827",270,20,,서울특별시고시 제2011-58호,2011-02-24
