구명,구 역 명,위치,면적(제곱미터)     ,사업유형,진행단계
중구,경동율목,경동 40번지 및 율목동 10번지 일원,34218,재개발,조합설립인가
중구,송월,송월동1가 12-16번지 일원(당초 : 송월동 11번지 일원),27338,재개발,조합설립인가
중구,송월아파트,송월동1가 10-1번지 일원,33683,재개발,사업시행계획인가
중구,경동,경동 96-1번지 일원,41970,재개발,조합설립인가
중구,인천여상주변,사동 23-4번지 일원,20481,재개발,착공
중구,전동웃터골,중구 전동 32-1번지 일원,29933,주거환경개선(현지개량),준공
중구,월남촌 사랑마을,중구 유동 8-5번지 일원,42355,주거환경개선(현지개량),착공
중구,광성고주변(도원),도원동 18-1번지 일원,111070,정비구역지정(후보지 1차),후보지 1차
중구,율목동,율목동 162-1 번지 일원,56468,정비구역지정(후보지 2차),후보지 2차
동구,대헌학교뒤,송림동 37-10번지 일원,39943.9,주거환경개선(전면개량),준공
동구,송림4,"송림동 2, 4번지 일원",23915,주거환경개선(전면개량),착공
동구,금송,송림동 80-34 및 창영동 116-1번지 일원,162623.3,재개발,관리처분계획인가
동구,서림,송림동 64-55번지 일원,19477.1,재개발,관리처분계획인가
동구,"송림1,2동",송림동 160번지 일원,153784.9,재개발,관리처분계획인가
동구,송림3,송림6동 42-215번지 일원,54893.5,재개발,착공
동구,"송현1,2차A",송현동 1번지 일원,50679.6,재건축,사업시행계획인가
동구,화수화평,화평동 1-1번지 일원,180998,재개발,사업시행계획인가
동구,송림6,송림동 31-3번지 일원,10146.1,재개발,착공
동구,만석동 주꾸미 마을,제물량로 341 일원,62123,주거환경개선(현지개량),준공
동구,송희마을,송림동 4-237번지 일원,12583,주거환경개선(현지개량),준공
동구,송미로,송미로23번길 일원,2785,주거환경개선(현지개량),준공
동구,쇠뿔고개,창영동 21-15번지 일원,35072.5,주거환경개선(현지개량),준공
동구,괭이부리마을(주거취약지역),만석동 9-40번지 일원,5389.5,주거환경개선(현지개량),정비구역지정
동구,송림6동,송림동 33-1번지,16519.8,주거환경개선(현지개량),정비구역지정
동구,화수아파트일원,화수동 287-10번지 일원,15108,정비구역지정(후보지 1차),후보지 1차
미추홀구,도화1,도화동 372-18번지 일원,81788.8,재개발,관리처분계획인가
미추홀구,도화4,도화동 53-28번지 일원,35981.3,재개발,착공
미추홀구,숭의3,숭의동 18번지 일원,32881.5,재개발,착공
미추홀구,숭의5,숭의2동 장천로 48번길 일원(KT 전화국),33832.9,재개발,조합설립인가
미추홀구,전도관,숭의동 109-119번지 일원,69223.7,재개발,착공
미추홀구,주안4,주안동 1577번지 일원,90559.8,재개발,준공
미추홀구,학익3,학익동 321-35번지 일원,80970.6,재개발,착공
미추홀구,남광로얄A,주안동 1458번지 일원,29056.6,재건축,사업시행계획인가
미추홀구,여의,숭의동 34-4번지 일원,61222.8,재개발,착공(부분준공)
미추홀구,용현4,용현동 155번지 일원,47946.6,재개발,사업시행계획인가
미추홀구,학익4,학익2동 290-1번지 일원,20650.3,재개발,착공(부분준공)
미추홀구,학익장미A,학익동 413-1번지 일대,40448,재건축,정비구역지정(추진위승인)
미추홀구,미추1,주안2동 590-22 일원,64671.7,재정비촉진,착공
